"Plot Title: bas_ml_20251108"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20059998, SEN S/N: 20054028, LBL: t_air)","RH, % (LGR S/N: 20059998, SEN S/N: 20054028, LBL: hr_air)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22155504, LBL: t_1)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194991, LBL: t_2)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194995, LBL: t_3)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22285562, LBL: t_0)"
1,11/08/25 09:45:01  AM,10.956,55.000,15.652,15.605,15.103,15.891
2,11/08/25 10:00:01  AM,14.697,57.200,15.939,16.558,16.201,16.439
3,11/08/25 10:15:01  AM,15.008,47.800,13.714,14.457,14.601,12.074
4,11/08/25 10:30:01  AM,13.714,48.300,12.582,12.992,13.401,11.759
5,11/08/25 10:45:01  AM,13.281,49.300,11.880,12.485,12.775,11.200
6,11/08/25 11:00:01  AM,12.098,45.900,11.394,10.907,11.297,9.361
7,11/08/25 11:15:01  AM,10.565,45.200,9.805,10.100,10.296,7.494
8,11/08/25 11:30:01  AM,3.722,65.700,10.565,7.368,6.737,7.066
9,11/08/25 11:45:01  AM,1.126,79.500,4.532,4.947,4.246,5.308
10,11/08/25 12:00:01  PM,0.907,84.800,3.485,3.801,3.195,4.141
11,11/08/25 12:15:01  PM,0.907,86.600,4.089,4.740,0.880,1.344
12,11/08/25 12:30:01  PM,0.632,87.900,7.494,13.497,18.152,0.770
13,11/08/25 12:45:01  PM,1.262,89.900,7.217,13.185,15.175,0.356
14,11/08/25 01:00:01  PM,1.262,90.900,6.914,12.122,13.161,0.329
15,11/08/25 01:15:01  PM,0.880,91.800,6.585,11.273,11.856,0.329
16,11/08/25 01:30:01  PM,1.099,92.600,6.230,10.614,10.956,0.329
17,11/08/25 01:45:01  PM,0.880,93.100,5.949,10.100,10.296,0.301
18,11/08/25 02:00:01  PM,1.317,93.800,5.693,9.706,9.780,0.329
19,11/08/25 02:15:01  PM,1.289,94.100,5.462,9.361,9.386,0.329
20,11/08/25 02:30:01  PM,1.289,93.800,5.257,9.089,9.064,0.329
21,11/08/25 02:45:01  PM,1.208,94.000,5.076,8.841,8.792,0.301
22,11/08/25 03:00:01  PM,1.044,93.900,4.947,8.643,8.568,0.301
23,11/08/25 03:15:01  PM,1.126,94.100,4.818,8.469,8.394,0.301
24,11/08/25 03:30:01  PM,0.962,94.000,4.688,8.295,8.220,0.273
25,11/08/25 03:45:01  PM,0.907,94.100,4.610,8.170,8.070,0.273
26,11/08/25 04:00:01  PM,0.522,93.900,4.506,8.020,7.945,0.273
27,11/08/25 04:15:01  PM,0.522,93.800,4.454,7.920,7.845,0.246
28,11/08/25 04:30:01  PM,0.412,93.700,4.376,7.820,7.745,0.246
29,11/08/25 04:45:01  PM,0.384,93.500,4.324,7.720,7.670,0.246
30,11/08/25 05:00:01  PM,0.301,93.700,4.272,7.619,7.569,0.246
31,11/08/25 05:15:01  PM,0.163,93.300,4.246,7.544,7.519,0.246
32,11/08/25 05:30:01  PM,0.135,93.000,4.194,7.469,7.444,0.246
33,11/08/25 05:45:01  PM,0.051,92.500,4.168,7.419,7.393,0.246
34,11/08/25 06:00:01  PM,-0.004,91.800,4.115,7.343,7.343,0.218
35,11/08/25 06:15:01  PM,-0.171,91.500,4.089,7.293,7.268,0.218
36,11/08/25 06:30:01  PM,-0.311,91.800,4.063,7.217,7.242,0.218
37,11/08/25 06:45:01  PM,-0.283,91.800,4.037,7.167,7.192,0.218
38,11/08/25 07:00:01  PM,-0.479,92.000,4.011,7.116,7.167,0.218
39,11/08/25 07:15:01  PM,-0.507,91.900,3.985,7.091,7.116,0.218
40,11/08/25 07:30:01  PM,-0.507,90.300,3.958,7.041,7.091,0.218
41,11/08/25 07:45:01  PM,-0.760,90.600,3.932,6.990,7.066,0.190
42,11/08/25 08:00:01  PM,-0.902,90.700,3.906,6.965,7.015,0.190
43,11/08/25 08:15:01  PM,-1.015,90.300,3.880,6.914,6.990,0.190
44,11/08/25 08:30:01  PM,-1.185,89.400,3.854,6.864,6.965,0.163
45,11/08/25 08:45:01  PM,-1.270,88.400,3.827,6.839,6.940,0.163
46,11/08/25 09:00:01  PM,-1.384,88.100,3.827,6.813,6.914,0.163
47,11/08/25 09:15:01  PM,-1.527,89.400,3.801,6.788,6.889,0.135
48,11/08/25 09:30:01  PM,-1.613,89.000,3.801,6.737,6.889,0.135
49,11/08/25 09:45:01  PM,-1.699,88.100,3.775,6.712,6.864,0.107
50,11/08/25 10:00:01  PM,-1.756,86.700,3.749,6.687,6.813,0.107
51,11/08/25 10:15:01  PM,-1.814,85.800,3.749,6.661,6.813,0.107
52,11/08/25 10:30:01  PM,-1.871,85.500,3.749,6.636,6.788,0.107
53,11/08/25 10:45:01  PM,-1.900,84.700,3.722,6.611,6.788,0.079
54,11/08/25 11:00:01  PM,-2.015,83.800,3.722,6.585,6.763,0.051
55,11/08/25 11:15:01  PM,-2.131,83.100,3.696,6.560,6.763,0.051
56,11/08/25 11:30:01  PM,-2.189,82.900,3.696,6.535,6.737,0.024
57,11/08/25 11:45:01  PM,-2.218,82.000,3.670,6.509,6.712,0.024
58,11/09/25 12:00:01  AM,-2.247,82.100,3.670,6.509,6.712,0.024
59,11/09/25 12:15:01  AM,-2.276,82.200,3.670,6.484,6.687,0.024
60,11/09/25 12:30:01  AM,-2.363,82.500,3.643,6.458,6.687,0.024
61,11/09/25 12:45:01  AM,-2.479,82.500,3.643,6.433,6.661,-0.004
62,11/09/25 01:00:01  AM,-2.566,81.000,3.643,6.408,6.661,-0.004
63,11/09/25 01:15:01  AM,-2.683,81.100,3.617,6.408,6.636,-0.032
64,11/09/25 01:30:01  AM,-2.771,81.300,3.617,6.382,6.636,-0.032
65,11/09/25 01:45:01  AM,-2.859,81.100,3.617,6.357,6.636,-0.032
66,11/09/25 02:00:01  AM,-2.976,81.600,3.591,6.357,6.611,-0.060
67,11/09/25 02:15:01  AM,-3.094,80.200,3.591,6.331,6.611,-0.060
68,11/09/25 02:30:01  AM,-3.212,79.900,3.591,6.306,6.611,-0.088
69,11/09/25 02:45:01  AM,-3.301,80.100,3.564,6.306,6.585,-0.088
70,11/09/25 03:00:01  AM,-3.301,80.200,3.564,6.281,6.585,-0.116
71,11/09/25 03:15:01  AM,-3.330,80.700,3.564,6.255,6.560,-0.116
72,11/09/25 03:30:01  AM,-3.360,80.900,3.538,6.255,6.560,-0.116
73,11/09/25 03:45:01  AM,-3.419,81.400,3.538,6.230,6.560,-0.116
74,11/09/25 04:00:01  AM,-3.449,81.300,3.538,6.230,6.535,-0.116
75,11/09/25 04:15:01  AM,-3.508,81.200,3.538,6.204,6.535,-0.116
76,11/09/25 04:30:01  AM,-3.538,81.100,3.512,6.204,6.535,-0.143
77,11/09/25 04:45:01  AM,-3.717,80.200,3.512,6.179,6.535,-0.171
78,11/09/25 05:00:01  AM,-3.836,79.700,3.512,6.179,6.509,-0.171
