"Plot Title: mid_ml_20251108"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 22354027, SEN S/N: 20507283, LBL: tair)","RH, % (LGR S/N: 22354027, SEN S/N: 20507283, LBL: hr)","Temp, °C (LGR S/N: 22354027, SEN S/N: 22194993, LBL: tprof1)","Temp, °C (LGR S/N: 22354027, SEN S/N: 22194996, LBL: tprof2)","Temp, °C (LGR S/N: 22354027, SEN S/N: 22285559, LBL: tprof3)","Temp, °C (LGR S/N: 22354027, SEN S/N: 22285560, LBL: tsurf)"
1,11/08/25 10:15:01  AM,17.201,46.000,15.485,14.553,15.079,13.954
2,11/08/25 10:30:01  AM,15.342,45.900,12.678,13.377,12.340,12.823
3,11/08/25 10:45:01  AM,13.738,45.700,11.102,12.268,11.078,11.734
4,11/08/25 11:00:01  AM,12.654,48.900,10.932,11.516,10.638,11.370
5,11/08/25 11:15:01  AM,11.127,51.100,9.410,11.175,6.408,7.116
6,11/08/25 11:30:01  AM,9.829,54.700,8.045,10.173,4.818,5.642
7,11/08/25 11:45:01  AM,8.891,58.800,7.720,9.460,7.091,2.983
8,11/08/25 12:00:01  PM,8.742,60.200,7.444,8.965,6.712,3.591
9,11/08/25 12:15:01  PM,2.450,73.300,1.180,2.744,2.021,2.503
10,11/08/25 12:30:01  PM,1.071,82.600,1.017,2.877,1.099,1.751
11,11/08/25 12:45:01  PM,0.742,85.500,1.235,2.557,1.153,1.697
12,11/08/25 01:00:01  PM,0.742,86.700,1.235,2.770,1.344,1.208
13,11/08/25 01:15:01  PM,0.660,87.700,1.805,1.967,1.317,2.370
14,11/08/25 01:30:01  PM,0.825,88.800,2.101,1.859,1.480,2.956
15,11/08/25 01:45:01  PM,1.778,88.500,0.660,0.495,0.687,0.605
16,11/08/25 02:00:01  PM,1.371,88.700,0.797,3.722,0.715,7.091
17,11/08/25 02:15:01  PM,1.071,88.500,9.706,7.469,2.744,6.940
18,11/08/25 02:30:01  PM,0.605,89.800,10.565,7.720,1.561,6.687
19,11/08/25 02:45:01  PM,0.577,90.400,9.977,7.695,2.744,6.990
20,11/08/25 03:00:01  PM,0.412,90.300,9.460,7.318,0.384,5.024
21,11/08/25 03:15:01  PM,0.384,90.100,9.064,7.192,0.273,5.539
22,11/08/25 03:30:01  PM,0.301,90.400,8.742,7.192,0.273,5.796
23,11/08/25 03:45:01  PM,0.329,89.600,8.469,7.116,0.246,6.255
24,11/08/25 04:00:01  PM,0.190,87.400,8.270,7.015,0.246,6.611
25,11/08/25 04:15:01  PM,-0.004,87.300,8.095,6.940,0.218,6.585
26,11/08/25 04:30:01  PM,-0.088,86.500,7.920,6.864,0.218,6.509
27,11/08/25 04:45:01  PM,-0.227,86.300,7.820,6.788,0.190,6.458
28,11/08/25 05:00:01  PM,-0.395,87.100,7.695,6.712,0.190,6.408
29,11/08/25 05:15:01  PM,-0.563,87.000,7.594,6.661,0.163,6.382
30,11/08/25 05:30:01  PM,-0.789,87.800,7.519,6.611,0.163,6.357
31,11/08/25 05:45:01  PM,-0.986,87.300,7.444,6.560,0.107,6.306
32,11/08/25 06:00:01  PM,-1.043,84.800,7.368,6.509,0.051,6.255
33,11/08/25 06:15:01  PM,-1.213,84.900,7.318,6.484,0.051,6.204
