"Plot Title: 22382990"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 22382990, SEN S/N: 20584702, LBL: tamb)","RH, % (LGR S/N: 22382990, SEN S/N: 20584702, LBL: hramb)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22194992, LBL: tprof2)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22194994, LBL: tprof1)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22285558, LBL: tprof4)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22285561, LBL: tprof3)"
1,11/08/25 03:00:01  PM,17.439,44.200,18.723,18.295,18.533,18.509
2,11/08/25 03:15:01  PM,18.366,42.200,16.344,18.152,18.366,16.487
3,11/08/25 03:30:01  PM,17.368,39.500,15.485,16.963,15.963,15.366
4,11/08/25 03:45:01  PM,16.320,39.700,13.281,16.034,14.721,14.792
5,11/08/25 04:00:01  PM,15.055,39.000,12.340,14.960,13.305,14.457
6,11/08/25 04:15:01  PM,12.968,40.700,9.361,13.305,11.807,12.944
7,11/08/25 04:30:01  PM,10.198,47.300,7.393,11.297,9.756,11.346
8,11/08/25 04:45:01  PM,9.460,48.600,7.368,10.467,8.916,10.418
9,11/08/25 05:00:01  PM,8.941,49.600,6.560,9.805,8.295,9.780
10,11/08/25 05:15:01  PM,8.270,53.600,8.095,8.295,7.519,8.891
11,11/08/25 05:30:01  PM,7.945,53.600,5.949,8.270,7.368,8.568
12,11/08/25 05:45:01  PM,7.519,52.500,4.921,7.645,6.914,8.220
13,11/08/25 06:00:01  PM,7.015,52.400,4.584,7.041,6.990,7.770
14,11/08/25 06:15:01  PM,6.102,59.300,4.558,5.898,4.740,5.719
15,11/08/25 06:30:01  PM,2.770,70.000,3.036,1.751,2.021,1.235
16,11/08/25 06:45:01  PM,2.155,82.300,17.962,29.389,0.190,0.246
17,11/08/25 07:00:01  PM,0.218,87.600,2.128,5.076,0.163,0.356
18,11/08/25 07:15:01  PM,0.079,88.900,0.329,0.605,0.660,0.079
19,11/08/25 07:30:01  PM,-0.116,89.400,1.044,0.135,0.246,0.715
20,11/08/25 07:45:01  PM,-0.311,90.200,3.696,0.522,2.262,2.930
21,11/08/25 08:00:01  PM,-0.060,90.500,4.584,3.063,2.823,4.402
22,11/08/25 08:15:01  PM,-0.283,90.900,4.636,3.827,2.823,4.454
23,11/08/25 08:30:01  PM,-0.591,90.800,4.558,4.480,2.797,4.454
24,11/08/25 08:45:01  PM,-0.732,91.300,4.766,4.999,2.797,4.428
25,11/08/25 09:00:01  PM,-1.071,91.200,4.844,5.102,2.797,4.376
26,11/08/25 09:15:01  PM,-1.299,90.900,4.869,5.102,2.770,4.350
27,11/08/25 09:30:01  PM,-1.441,90.400,4.869,5.102,2.797,4.350
28,11/08/25 09:45:01  PM,-1.527,91.000,4.895,5.102,2.850,4.376
29,11/08/25 10:00:01  PM,-1.641,91.100,4.869,5.102,2.877,4.350
30,11/08/25 10:15:01  PM,-1.785,91.100,4.869,5.076,2.850,4.324
31,11/08/25 10:30:01  PM,-2.015,90.900,4.844,5.076,2.823,4.298
32,11/08/25 10:45:01  PM,-2.218,90.600,4.844,5.076,2.850,4.298
33,11/08/25 11:00:01  PM,-2.363,90.100,4.844,5.076,2.903,4.298
34,11/08/25 11:15:01  PM,-2.479,89.300,4.844,5.050,2.903,4.298
35,11/08/25 11:30:01  PM,-2.566,89.800,4.818,5.050,2.877,4.272
36,11/08/25 11:45:01  PM,-2.596,89.700,4.792,5.050,2.823,4.220
37,11/09/25 12:00:01  AM,-2.654,90.700,4.818,5.050,2.850,4.246
38,11/09/25 12:15:01  AM,-2.859,90.200,4.818,5.050,2.903,4.272
39,11/09/25 12:30:01  AM,-2.918,90.700,4.818,5.050,2.903,4.272
40,11/09/25 12:45:01  AM,-2.947,91.200,4.818,5.024,2.903,4.272
41,11/09/25 01:00:01  AM,-3.212,91.100,4.818,5.024,2.930,4.272
42,11/09/25 01:15:01  AM,-3.479,90.400,4.818,5.024,2.956,4.272
43,11/09/25 01:30:01  AM,-3.657,89.800,4.792,5.024,2.930,4.246
44,11/09/25 01:45:01  AM,-3.836,89.600,4.792,5.024,2.956,4.272
45,11/09/25 02:00:01  AM,-3.836,90.200,4.792,5.024,2.956,4.272
46,11/09/25 02:15:01  AM,-3.956,90.400,4.792,5.024,2.956,4.272
47,11/09/25 02:30:01  AM,-3.986,90.600,4.792,5.024,2.983,4.298
48,11/09/25 02:45:01  AM,-4.257,89.200,4.792,5.024,2.956,4.246
49,11/09/25 03:00:01  AM,-4.408,88.000,4.792,4.999,2.956,4.246
50,11/09/25 03:15:01  AM,-4.469,88.400,4.792,5.024,2.956,4.246
51,11/09/25 03:30:01  AM,-4.469,88.700,4.792,4.999,2.983,4.272
52,11/09/25 03:45:01  AM,-4.530,88.500,4.792,4.999,2.983,4.272
53,11/09/25 04:00:01  AM,-4.712,88.100,4.792,4.999,3.009,4.272
54,11/09/25 04:15:01  AM,-4.804,86.800,4.792,4.999,3.036,4.272
55,11/09/25 04:30:01  AM,-4.926,87.100,4.792,4.999,3.009,4.272
56,11/09/25 04:45:01  AM,-4.987,87.400,4.766,4.999,3.009,4.272
57,11/09/25 05:00:01  AM,-4.957,87.100,4.766,4.999,3.009,4.246
58,11/09/25 05:15:01  AM,-4.987,88.700,4.766,4.999,2.983,4.246
59,11/09/25 05:30:01  AM,-5.079,86.500,4.766,4.999,3.009,4.272
60,11/09/25 05:45:01  AM,-5.141,88.000,4.766,4.999,3.009,4.272
61,11/09/25 06:00:01  AM,-5.295,86.200,4.766,4.999,3.009,4.246
62,11/09/25 06:15:01  AM,-5.418,87.700,4.766,4.999,3.009,4.246
63,11/09/25 06:30:01  AM,-5.574,87.300,4.740,4.973,3.009,4.246
64,11/09/25 06:45:01  AM,-5.636,87.200,4.740,4.999,3.036,4.246
65,11/09/25 07:00:01  AM,-5.667,87.700,4.766,4.973,3.063,4.272
66,11/09/25 07:15:01  AM,-5.854,86.500,4.740,4.973,3.036,4.246
67,11/09/25 07:30:01  AM,-5.948,87.200,4.740,4.973,3.063,4.298
68,11/09/25 07:45:01  AM,-5.948,87.400,4.766,4.999,3.089,4.272
69,11/09/25 08:00:01  AM,-5.979,87.300,4.766,4.973,3.116,4.298
70,11/09/25 08:15:01  AM,-6.042,87.300,4.766,4.973,3.089,4.272
71,11/09/25 08:30:01  AM,-6.073,87.500,4.740,4.973,3.063,4.272
72,11/09/25 08:45:01  AM,-6.010,87.300,4.740,4.973,3.089,4.272
73,11/09/25 09:00:01  AM,-6.073,87.500,4.740,4.973,3.089,4.272
74,11/09/25 09:15:01  AM,-6.105,87.800,4.740,4.973,3.089,4.272
75,11/09/25 09:30:01  AM,-6.262,86.700,4.740,4.973,3.063,4.272
76,11/09/25 09:45:01  AM,-6.420,87.000,4.740,4.973,3.089,4.272
77,11/09/25 10:00:01  AM,-6.706,85.400,4.740,4.973,3.116,4.298
78,11/09/25 10:15:01  AM,-6.866,86.300,4.740,4.973,3.116,4.272
79,11/09/25 10:30:01  AM,-6.962,85.600,4.740,4.973,3.063,4.246
80,11/09/25 10:45:01  AM,-6.962,85.900,4.740,4.973,3.063,4.272
81,11/09/25 11:00:01  AM,-6.930,86.300,4.740,4.973,3.089,4.272
82,11/09/25 11:15:01  AM,-6.898,87.100,4.740,4.973,3.089,4.272
83,11/09/25 11:30:01  AM,-6.930,87.400,4.740,4.973,3.089,4.272
84,11/09/25 11:45:01  AM,-6.962,87.600,4.740,4.973,3.089,4.272
85,11/09/25 12:00:01  PM,-7.058,87.000,4.740,4.973,3.116,4.298
86,11/09/25 12:15:01  PM,-7.155,86.200,4.740,4.973,3.142,4.298
87,11/09/25 12:30:01  PM,-6.962,86.600,4.740,4.947,3.116,4.272
88,11/09/25 12:45:01  PM,-6.962,85.900,4.740,4.973,3.116,4.272
89,11/09/25 01:00:01  PM,-6.930,85.700,4.740,4.947,3.142,4.272
90,11/09/25 01:15:01  PM,-6.642,85.900,4.740,4.947,3.142,4.272
91,11/09/25 01:30:01  PM,-6.579,85.700,4.740,4.947,3.116,4.298
92,11/09/25 01:45:01  PM,-6.357,86.500,4.740,4.947,3.142,4.298
93,11/09/25 02:00:01  PM,-6.357,85.400,4.740,4.947,3.142,4.272
94,11/09/25 02:15:01  PM,-6.294,84.400,4.714,4.947,3.142,4.272
95,11/09/25 02:30:01  PM,-6.357,85.200,4.740,4.947,3.142,4.272
96,11/09/25 02:45:01  PM,-6.105,85.400,4.714,4.947,3.116,4.272
97,11/09/25 03:00:01  PM,-6.105,85.500,4.714,4.947,3.116,4.272
98,11/09/25 03:15:01  PM,-5.698,85.800,4.740,4.947,3.142,4.272
